R,x0,y0,charge,r_g,R_over_rg,dist0,m_mode,trapped
2,-5,10,1.0,1.0,2,11.180339887498949,0,0
2,-5,20,1.0,1.0,2,20.615528128088304,0,0
2,0,-10,1.0,1.0,2,10.0,0,0
2,0,-3,1.0,1.0,2,3.0,0,1
2,0,0,1.0,1.0,2,0.0,0,1
2,0,3,1.0,1.0,2,3.0,0,1
2,0,10,1.0,1.0,2,10.0,0,0
2,0,20,1.0,1.0,2,20.0,0,0
2,5,-10,1.0,1.0,2,11.180339887498949,0,0
2,5,-3,1.0,1.0,2,5.830951894845301,0,0
2,5,0,1.0,1.0,2,5.0,0,1
2,5,3,1.0,1.0,2,5.830951894845301,0,1
2,5,10,1.0,1.0,2,11.180339887498949,0,1
2,5,20,1.0,1.0,2,20.615528128088304,0,0
2,10,-10,1.0,1.0,2,14.142135623730951,0,0
2,10,-3,1.0,1.0,2,10.44030650891055,0,0
2,10,0,1.0,1.0,2,10.0,0,1
2,10,3,1.0,1.0,2,10.44030650891055,0,1
2,10,10,1.0,1.0,2,14.142135623730951,0,1
2,10,20,1.0,1.0,2,22.360679774997898,0,0
2,20,-10,1.0,1.0,2,22.360679774997898,0,0
2,20,-3,1.0,1.0,2,20.223748416156685,0,0
2,20,0,1.0,1.0,2,20.0,0,0
2,20,3,1.0,1.0,2,20.223748416156685,0,0
2,20,10,1.0,1.0,2,22.360679774997898,0,0
2,20,20,1.0,1.0,2,28.284271247461902,0,0
2,30,-10,1.0,1.0,2,31.622776601683793,0,0
2,30,-3,1.0,1.0,2,30.14962686336267,0,0
2,30,0,1.0,1.0,2,30.0,0,0
2,30,3,1.0,1.0,2,30.14962686336267,0,0
2,30,10,1.0,1.0,2,31.622776601683793,0,0
2,30,20,1.0,1.0,2,36.05551275463989,0,0
3,-15,-10,1.0,1.0,3,18.027756377319946,0,0
3,-15,-3,1.0,1.0,3,15.297058540778355,0,0
3,-15,0,1.0,1.0,3,15.0,0,0
3,-15,3,1.0,1.0,3,15.297058540778355,0,0
3,-15,10,1.0,1.0,3,18.027756377319946,0,0
3,-15,20,1.0,1.0,3,25.0,0,0
3,-5,-10,1.0,1.0,3,11.180339887498949,0,1
3,-5,-3,1.0,1.0,3,5.830951894845301,0,1
3,-5,0,1.0,1.0,3,5.0,0,1
3,-5,3,1.0,1.0,3,5.830951894845301,0,1
3,-5,10,1.0,1.0,3,11.180339887498949,0,0
3,-5,20,1.0,1.0,3,20.615528128088304,0,0
3,0,-10,1.0,1.0,3,10.0,0,0
3,0,-3,1.0,1.0,3,3.0,0,1
3,0,0,1.0,1.0,3,0.0,0,1
3,0,3,1.0,1.0,3,3.0,0,1
3,0,10,1.0,1.0,3,10.0,0,0
3,0,20,1.0,1.0,3,20.0,0,0
3,5,-10,1.0,1.0,3,11.180339887498949,0,0
3,5,-3,1.0,1.0,3,5.830951894845301,0,1
3,5,0,1.0,1.0,3,5.0,0,1
3,5,3,1.0,1.0,3,5.830951894845301,0,1
3,5,10,1.0,1.0,3,11.180339887498949,0,1
3,5,20,1.0,1.0,3,20.615528128088304,0,0
3,10,-10,1.0,1.0,3,14.142135623730951,0,0
3,10,-3,1.0,1.0,3,10.44030650891055,0,0
3,10,0,1.0,1.0,3,10.0,0,1
3,10,3,1.0,1.0,3,10.44030650891055,0,1
3,10,10,1.0,1.0,3,14.142135623730951,0,1
3,10,20,1.0,1.0,3,22.360679774997898,0,0
3,20,-10,1.0,1.0,3,22.360679774997898,0,0
3,20,-3,1.0,1.0,3,20.223748416156685,0,0
3,20,0,1.0,1.0,3,20.0,0,0
3,20,3,1.0,1.0,3,20.223748416156685,0,0
3,20,10,1.0,1.0,3,22.360679774997898,0,0
3,20,20,1.0,1.0,3,28.284271247461902,0,0
3,30,-10,1.0,1.0,3,31.622776601683793,0,0
3,30,-3,1.0,1.0,3,30.14962686336267,0,0
3,30,0,1.0,1.0,3,30.0,0,0
3,30,3,1.0,1.0,3,30.14962686336267,0,0
3,30,10,1.0,1.0,3,31.622776601683793,0,0
3,30,20,1.0,1.0,3,36.05551275463989,0,0
4,-15,-10,1.0,1.0,4,18.027756377319946,0,0
4,-15,-3,1.0,1.0,4,15.297058540778355,0,0
4,-15,0,1.0,1.0,4,15.0,0,1
4,-15,3,1.0,1.0,4,15.297058540778355,0,0
4,-15,10,1.0,1.0,4,18.027756377319946,0,0
4,-15,20,1.0,1.0,4,25.0,0,0
4,-5,-10,1.0,1.0,4,11.180339887498949,0,0
4,-5,-3,1.0,1.0,4,5.830951894845301,0,1
4,-5,0,1.0,1.0,4,5.0,0,1
4,-5,3,1.0,1.0,4,5.830951894845301,0,1
4,-5,10,1.0,1.0,4,11.180339887498949,0,0
4,-5,20,1.0,1.0,4,20.615528128088304,0,0
4,0,-10,1.0,1.0,4,10.0,0,0
4,0,-3,1.0,1.0,4,3.0,0,1
4,0,0,1.0,1.0,4,0.0,0,1
4,0,3,1.0,1.0,4,3.0,0,1
4,0,10,1.0,1.0,4,10.0,0,0
4,0,20,1.0,1.0,4,20.0,0,0
4,5,-10,1.0,1.0,4,11.180339887498949,0,0
4,5,-3,1.0,1.0,4,5.830951894845301,0,1
4,5,0,1.0,1.0,4,5.0,0,1
4,5,3,1.0,1.0,4,5.830951894845301,0,1
4,5,10,1.0,1.0,4,11.180339887498949,0,0
4,5,20,1.0,1.0,4,20.615528128088304,0,0
4,10,-10,1.0,1.0,4,14.142135623730951,0,0
4,10,-3,1.0,1.0,4,10.44030650891055,0,0
4,10,0,1.0,1.0,4,10.0,0,1
4,10,3,1.0,1.0,4,10.44030650891055,0,1
4,10,10,1.0,1.0,4,14.142135623730951,0,1
4,10,20,1.0,1.0,4,22.360679774997898,0,0
4,20,-10,1.0,1.0,4,22.360679774997898,0,0
4,20,-3,1.0,1.0,4,20.223748416156685,0,0
4,20,0,1.0,1.0,4,20.0,0,0
